text	reference
yma gyfleusderau da i brynu tir i 'w adael i godipris, neu i fyned i fyw arno. Nid oes treth ardir y llywodraeth am bum mlynedd, felly, nidoes traul wrth adael y tir i sefyll; ac fe fydd yn	Amer 28.  4
Y peth mwyaf annghysurus yn y gymydogaethhon yw y tywydd oer a 'r eira mawr yn y Gauaf,yr hwn sydd yn parhau o bedwar i bum mis. Ymae y wlad hon yn iachach na 'r sefydliadau	Amer 31.  14
J. Richards. Methais gael gwybod rhifedi aelodaua phregethwyr y Trefnyddion Calfinaidd; y maeganddynt bump o addoldai yn y gwahanolgymydogaethau	Amer 32.  19
Hefyd am ddyblu y breuddwyd i Pharao//      ddwywaith,  o blegit siccrhau y//      peth gan Dduw, a bod Duw yn bryssio i 'w//      wneuthur.Weithian gan hynny edryched Pharao//       wr deallgar a doeth, a gosoded ef yn swyddog ar wlad yr Aipht.Gwnaed Pharao hyn, sef gosoded olygwyr ar y wlad a chymmered bummed ran//       gwlad yr Aipht tros saith mlynedd yr//      amldra.Yna casglant holl ymborth y blynyddoedd daionus hynny y rhai ydynt ar ddyfod://      sef casclant yd dan law Pharao, a chadwant//       mewn dinasoedd.	b1588 b1588gen 41  34
A 'r Philistiaid oeddynt yn sefyll ar fynydd//      //      o 'r naill du, ac Israel oeddynt yn sefyll ar fynydd o 'r tu arall, a 'r dyffryn  rhyngddynt.Yna y daeth gwr rhyngddynt hwy o werssylloedd y Philistiaid a 'i enw Goliath o Gath: ei//      vchter  chwe chufydd a rhychwant.A helm o bres ar ei ben, a lluric emmoc a//      wiscodd efe, a phwys y lluric  bum mil o//      siclau pres.A bottyssau pres  am ei draed ef,//      a tharian pres rhwng ei yscwyddau.	b1588 b1588sam 17  5
A Saul a wiscodd Ddafydd a 'i wiscoedd//      ei hun, ac a roddodd helm o bres ar ei benn ef://      ac a 'i gwiscodd ef  lluric.Yna y gwregysodd Dafydd ei gleddyf//      ar vchaf ei wiscoedd, ac a geisiodd gerdded am//      na phrofase efe, yna y dywedodd Dafydd wrth//      Saul, ni allafi fyned yn y rhai hyn, canys ni//      phrofais i: am hynny y dioscodd Dafydd hwynt oddi am dano.Yna y cymmerth efe ei ffon yn ei law,//      ac a ddewisodd iddo bump o gerric llyfnion o 'r//      afon, ac a 'i gosododd hwynt yng-hod  y bugeiliaid yr hon  ganddo, sef yn yr screpan: a 'i ffon//      dafl  yn ei law ef: ac efe a nessaodd at//      y Philistiad.A 'r Philistiad a gerddodd, gan fyned, a//      nessau at Ddafydd: a 'r gwr oedd yn cludo y tarian o 'i flaen ef.	b1588 b1588sam 17  40
Fab y weddw, o feirw i fowredd, \Rhoi'r dall: i weled pob rhyw wall, \Fe borthe gwaelion bum mil dynion, \Fe ddysge'r gwirion ffordd gyfion i syw'n gall, \	BER BWB_334-2 ^  86
Roedd iddi 'n rhanne o honno, \Mae 'n debyg inni i 'w dybio, \Bum waith i 'w dystio mwy na 'i Dad, \Ffei o Wraig mae 'n ffiedd rwygiad, \	BER BWB_371-2 6  60
Wrth reol yr wybur ni all llwubur yn llawn,Yn dalld mae drudanieth yn ddifeth a ddaw,Tros gyflawn bumlynedd yn bruddedd mewn *braw.Credadun.	BHJ BWB_108-1 ^  88
MeddwynWrth wrando ar dy ffalsder yn yfnder  y nosBum ganwaith ar rynu ne fferu yn y ffos,Ar ol gwario'r mawr Arian modd ruan Bob tro	BHJ BWB_112-2 ^  42
Yn d adel di i sefull yn *suful gar *Bron,Na Roe fedi'n foddfa fel Sodama 'n siwr,Lle syrthiodd yn wnias Bum dinas mewn dwr.D.	BHJ BWB_112-2 ^  100
Yr owan *Rhoi ffarwel air Tawel iti,Ir Bud Rydw i'n siampal Rhu feddal wi fi,Lle Bum yn cael gormod dwlamod di les,Yr owan rhu fychan yn gyfan a ges.	BHJ BWB_112-2 ^  123
Maer Arian gwedi darfod,Yn Trafaelio dros dy Sarn,Bum arnat ddarn o ddiwrnod.Os eis di 'n wael dy gwman,	BHJ BWB_171-1 ^  12
Cest amal Beint heb dalu,Ath dendio gyd a hynu,Bum lawer Nos cin tori 'r wawr,Heb fynd i lawr i gysgu	BHJ BWB_171-1 ^  31
nid meddwi 'n ffraeth mewn moddion *ffri neu guro'n llaes am gwrw'n lliOnd gweddeidd-dra fyna fi a hyn rwi yw hoffi o hyd,Os bum im Trin ar lawer tro yn feddwyn llaith un fodd a lloffarwel ir dafarn gadarn go dof eto i mendio y myd,	BHJ BWB_172-2 6  23
Merch a garwn a'i theg eiriePan ddoe, yn ei blode a'i modde ir manMerch o ddifri bum iw hoffiAm Clwyfodd gwedi wisgi waith	BHJ BWB_480-2 ^  29
dda agwedd fwun ddiogel yn rhifo gwur i ryfelam hoedel gafel guryn lle gwr bum i 'n siwr mewn amal daro ar dir a dwryn rhyfela 'n nerth y cledde am fy mowud Efo mwa	BLl   989
enter capten mortimerIechud ichwi lan ferch grynowuch gowreindeb bum i 'ch gwrandoych tryth a 'ch cyffes sudd a 'ch trallod	BLl   1013
er pen ydech imi 'n bartneryn cud gysgu a chud gyfeddacherioed ni wubum mai merch oeddechffabian	BLl   1027
nid ydwi ond drwg wrth swmbwlni roi mo ngalon  dan fy nroed ni bum i erioed ar feddwlmi wisca ddillad gwchion	BLl   1150
cewch barch Twusoges fel 'r heuddechers tair blynedd drwu fawr drafela bum i 'n cynal fflit i ryfelyn colli gwaed ac arfe ag arian	BLl   1253
gael twls  yn lle cledde cri o euddo iti dy hunanllawer gwaith a bum i 'n rhyfeddupa sut a bu hi cud yn cyscu	BLl   1302
ag ar i llyfon wneuthur gwada gyru nhad  o 'i dyrnasTair blynedd bum i 'n cario cleddmi af dair blynedd newudd	BLl   1410
i 'm dwu ferch i dyngu anudondeigien mlynedd mi  fynegaa bum i 'n frenin yn Mrutaniadrwu gario 'n  ddidwn y goron ddedwudd	BLl   1634
enter plwcow llur gru a 'r llaw grafellni wubum rioed dy fod mor musgrella rhoi dy dorth i wr o 'th bro 	BLl   1811
i dyngu llw kowirdeb i vrenhin Sion o Loegr. yCymru ai galwai Ieuan vrenhin.Yn yr ail vlwyddyn i gwelad yn Swydd Iork bumplleuad ar vnwaith ar yr awyr ar  ail gayaf	CHSM 204v.  20
i bu vaes creulon ar Saesson a gafas y gore aca ennillodd y Dref ac yno i lladdwyd or y Scottiedbump mil arhugein ar brenhin a ymroes gwedihynny i Edward./	CHSM 207r.  20
i Harri i vrawd ac ai byriodd allan ac aladdoddbum mil oi wyr ac a gafas Petyr lawer ogestyll a threfydd drychefn yr rhai a ynnillyssai	CHSM 210r.  8
yng Hawnterburi i claddwydHarri y pumedHarri bumed a ddechreuodd yr .21. dydd o Vawrthoed Crist 1412. ac a goronwyd yn Westmustr y	CHSM 212v.  15
Y vlwyddyn honn vis hydref i bu yr maes yn Agincowrttrwy wyrthie Duw ai weithred i hennillodd gwyr Loegrac nid oedd o lu gan vrenhin Harri bumed onddwyfil	CHSM 213r.  22
y Duc o Betphord i vrawd a llu gantho ar y mora gydiodd a llonge brenhin Phraink hyd yn rhif obumkann//       llong ac ai lladdodd ac ai boddodd ac ai daloddi gyd a phann glybu y llu oedd ar dir hynny hwynt	CHSM 213v.  10
yr honn a vu gwedi hynny vrenhines, Ciceli a Chatrin./Edward y pumedEdward bumed a ddechreuodd meddiannu yrYnys honn yr .11. dydd o Ebrill pan oedd oedran	CHSM 7.  1
i vrenhin Phrainc eilwaith. Yr ailvlwyddyny dewisswyd Siarls bumed yn EmperodrRhufain. Ar vlwyddyn honn i danfoned Iarll	CHSM 223v.  18
ddymuniadauam iachawdwriaeth yn fuan ar ol dyfod i 'chty chwi i 'r ysgol: ond ni bum erioed o 'r blaen fel ydiwrnod hwnnw; ac nis anghofiaf hynny byth. Wrth	CMB 14.  25
i minnau, fel y gallwn fyw mewn hyfrydwch, a marwmewn heddwch; ac ymddangosodd yn bur debyg i miy byddai felly. Ni bum erioed o 'r blaen mor gysurusyn achos fy enaid. Mynych, fynych yr oedd y	CMB 7.  12
i Blant. Gofynais iddi,"Beth yr ydych yn ei ddarllen?"Attebodd hithau, "Bum yn darllen ac yn meddwllawer ar y geiriau hyn yn y llyfr bach yma."	CMB 17.  22
